relative_path,size_bytes,is_binary,line_or_chunk_count,status,error
"data\generated_code\assets\predicted_vs_actual.png",30823,1,1927,ok,""
"data\generated_code\assets\prediction_distribution.png",18206,1,1138,ok,""
"data\generated_code\assets\predictions.csv",326,0,31,ok,""
"data\generated_code\assets\rag_results_summary.csv",1253,0,7,ok,""
"data\generated_code\assets\raw_data.png",29630,1,1852,ok,""
"data\generated_code\assets\regression_fit.png",44780,1,2799,ok,""
"data\generated_code\assets\regression_line.png",47183,1,2949,ok,""
"data\generated_code\assets\residual_plot.png",35751,1,2235,ok,""
"data\generated_code\assets\residuals_distribution.png",19246,1,1203,ok,""
"data\generated_code\assets\residuals_plot.png",24840,1,1553,ok,""
"data\generated_code\assets\retrieval_results_1.png",22015,1,1376,ok,""
"data\generated_code\assets\retrieval_results_2.png",22149,1,1385,ok,""
"data\generated_code\assets\retrieval_results_3.png",21039,1,1315,ok,""
"data\generated_code\assets\rnn_time_series_results.png",128566,1,8036,ok,""
"data\generated_code\assets\salary_data.csv",43721,0,1001,ok,""
"data\generated_code\assets\sample_documents.txt",911,0,10,ok,""
"data\generated_code\assets\sample_plot.png",23737,1,1484,ok,""
"data\generated_code\assets\sample_predictions.png",10643,1,666,ok,""
"data\generated_code\assets\scatter_plot.png",37992,1,2375,ok,""
"data\generated_code\assets\simple_linear_regression.png",39854,1,2491,ok,""
"data\generated_code\assets\slides_images\lesson_1768027146.pdf",21713,1,1358,ok,""
"data\generated_code\assets\slides_images\lesson_1768027624.pdf",21713,1,1358,ok,""
"data\generated_code\assets\slides_images\lesson_1768043563.pdf",134592,1,8412,ok,""
"data\generated_code\assets\slides_images\lesson_1768044762.pdf",125906,1,7870,ok,""
"data\generated_code\assets\slides_images\lesson_1768104809.pdf",108881,1,6806,ok,""
"data\generated_code\assets\slides_images\lesson_1768105363.pdf",116702,1,7294,ok,""
"data\generated_code\assets\slides_images\lesson_1768105692.pdf",115231,1,7202,ok,""
"data\generated_code\assets\slides_images\lesson_1768106139.pdf",117792,1,7362,ok,""
"data\generated_code\assets\slides_images\lesson_1768106673.pdf",109941,1,6872,ok,""
"data\generated_code\assets\slides_images\lesson_1768315085.pdf",112396,1,7025,ok,""
"data\generated_code\assets\slides_images\lesson_1768316148.pdf",122889,1,7681,ok,""
"data\generated_code\assets\slides_images\lesson_1768582356.pdf",112011,1,7001,ok,""
"data\generated_code\assets\slides_images\lesson_1768583110.pdf",116947,1,7310,ok,""
"data\generated_code\assets\slides_images\slide_001.png",62643,1,3916,ok,""
"data\generated_code\assets\slides_images\slide_002.png",84905,1,5307,ok,""
"data\generated_code\assets\slides_images\slide_003.png",82925,1,5183,ok,""
"data\generated_code\assets\slides_images\slide_004.png",99262,1,6204,ok,""
"data\generated_code\assets\slides_images\slide_005.png",74323,1,4646,ok,""
"data\generated_code\assets\slides_images\slide_006.png",70159,1,4385,ok,""
"data\generated_code\assets\slides_images\slide_007.png",65801,1,4113,ok,""
"data\generated_code\assets\slides_images\slide_008.png",56207,1,3513,ok,""
"data\generated_code\assets\slides_images\slide_009.png",81851,1,5116,ok,""
"data\generated_code\assets\slides_images\slide_010.png",69845,1,4366,ok,""
"data\generated_code\assets\synthetic_data.csv",3921,0,101,ok,""
"data\generated_code\assets\synthetic_dataset.csv",5218,0,101,ok,""
"data\generated_code\assets\topic2_lesson.md",1100,0,40,ok,""
"data\generated_code\assets\train_test_split.png",50683,1,3168,ok,""
"data\generated_code\assets\training_history.png",26025,1,1627,ok,""
"data\generated_code\assets\transformer_attention_weights.png",23252,1,1454,ok,""
"data\generated_code\assets\transformer_training_losses.png",20402,1,1276,ok,""
"data\generated_code\assets\valo_correlation_heatmap.png",88730,1,5546,ok,""
"data\generated_code\assets\valo_map_performance.png",48626,1,3040,ok,""
"data\generated_code\assets\valo_performance_analysis.png",136126,1,8508,ok,""
"data\generated_code\assets\valo_raw_data.csv",8180,0,101,ok,""
"data\generated_code\assets\valo_summary_statistics.csv",205,0,2,ok,""
"data\generated_code\assets\vectorizer.pkl",3067,1,192,ok,""
"data\generated_code\output\lesson_1768043563_lecture.mp4",10221126,1,638821,ok,""
"data\generated_code\output\lesson_1768104809_lecture.mp4",10707541,1,669222,ok,""
"data\generated_code\output\lesson_1768105692_lecture.mp4",11678819,1,729927,ok,""
"data\generated_code\output\lesson_1768106139_lecture.mp4",13035495,1,814719,ok,""
"data\generated_code\output\lesson_1768106673_lecture.mp4",10337594,1,646100,ok,""
"data\generated_code\output\lesson_1768315085_lecture.mp4",8903635,1,556478,ok,""
"data\generated_code\output\lesson_1768316148_lecture.mp4",8833244,1,552078,ok,""
"data\generated_code\output\lesson_1768583110_lecture.mp4",8879972,1,554999,ok,""
"data\generated_code\output\temp_clips\audio_0.mp3",217584,1,13599,ok,""
"data\generated_code\output\temp_clips\audio_1.mp3",278784,1,17424,ok,""
"data\generated_code\output\temp_clips\audio_2.mp3",255600,1,15975,ok,""
"data\generated_code\output\temp_clips\audio_3.mp3",361152,1,22572,ok,""
"data\generated_code\output\temp_clips\audio_4.mp3",426960,1,26685,ok,""
"data\generated_code\output\temp_clips\audio_5.mp3",418608,1,26163,ok,""
"data\generated_code\output\temp_clips\audio_6.mp3",332784,1,20799,ok,""
"data\generated_code\output\temp_clips\audio_7.mp3",289296,1,18081,ok,""
"data\generated_code\output\temp_clips\audio_8.mp3",380304,1,23769,ok,""
"data\generated_code\output\temp_clips\audio_9.mp3",380160,1,23760,ok,""
"data\generated_code\run_016fa81c83384394b967c321c1c4bb8f\assets\generated_code_4.png",11765,1,736,ok,""
"data\generated_code\run_016fa81c83384394b967c321c1c4bb8f\lesson_1769021272.pptx",607084,1,37943,ok,""
"data\generated_code\run_016fa81c83384394b967c321c1c4bb8f\output\quiz.json",2304,0,58,ok,""
"data\generated_code\run_016fa81c83384394b967c321c1c4bb8f\scripts\builder_1769021272.py",4823,0,117,ok,""
"data\generated_code\run_016fa81c83384394b967c321c1c4bb8f\storyboard.json",3677,0,79,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\generated_code_3.png",5791,1,362,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\lesson_1769021779.pdf",104711,1,6545,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\slide_001.png",63050,1,3941,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\slide_002.png",59426,1,3715,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\slide_003.png",45138,1,2822,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\slide_004.png",58981,1,3687,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\slide_005.png",55440,1,3465,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\slide_006.png",50454,1,3154,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\slide_007.png",42894,1,2681,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\assets\slides_images\slide_008.png",55372,1,3461,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\lesson_1769021779.pptx",601360,1,37585,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\lesson_1769021779_lecture.mp4",9510024,1,594377,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\quiz.json",2199,0,58,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\temp_clips\audio_0.mp3",201744,1,12609,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\temp_clips\audio_1.mp3",345888,1,21618,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\temp_clips\audio_2.mp3",414288,1,25893,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\temp_clips\audio_3.mp3",333936,1,20871,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\temp_clips\audio_4.mp3",265968,1,16623,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\temp_clips\audio_5.mp3",370656,1,23166,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\temp_clips\audio_6.mp3",347328,1,21708,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\output\temp_clips\audio_7.mp3",396288,1,24768,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\scripts\builder_1769021779.py",4974,0,121,ok,""
"data\generated_code\run_0231456080a149489c3c29e21d05d37e\storyboard.json",2484,0,72,ok,""
"data\generated_code\run_034a2b6ce8404d299eb3abcf3f33fcbd\scripts\builder_1768026953.py",4430,0,92,ok,""
"data\generated_code\run_034a2b6ce8404d299eb3abcf3f33fcbd\scripts\builder_1768027005.py",5188,0,109,ok,""
"data\generated_code\run_034a2b6ce8404d299eb3abcf3f33fcbd\scripts\builder_1768027051.py",5598,0,121,ok,""
"data\generated_code\run_034a2b6ce8404d299eb3abcf3f33fcbd\storyboard.json",3062,0,78,ok,""
"data\generated_code\run_047354394f8a4d37aff1ba7b898b9a0d\assets\generated_code_4.png",7772,1,486,ok,""
"data\generated_code\run_047354394f8a4d37aff1ba7b898b9a0d\output\quiz.json",3432,0,58,ok,""
"data\generated_code\run_047354394f8a4d37aff1ba7b898b9a0d\scripts\builder_1768315085.py",5091,0,117,ok,""
"data\generated_code\run_047354394f8a4d37aff1ba7b898b9a0d\storyboard.json",2832,0,51,ok,""
"data\generated_code\run_06e020693af846a298b85e0fa29861cc\lesson_1769286010.pptx",606698,1,37919,ok,""
"data\generated_code\run_06e020693af846a298b85e0fa29861cc\output\quiz.json",1867,0,45,ok,""
"data\generated_code\run_06e020693af846a298b85e0fa29861cc\scripts\builder_1769286010.py",8580,0,206,ok,""
"data\generated_code\run_06e020693af846a298b85e0fa29861cc\storyboard.json",2574,0,81,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\assets\slides_images\lesson_1769282480.pdf",172153,1,10760,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\assets\slides_images\slide_001.png",47321,1,2958,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\assets\slides_images\slide_002.png",29355,1,1835,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\assets\slides_images\slide_003.png",70965,1,4436,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\assets\slides_images\slide_004.png",70971,1,4436,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\assets\slides_images\slide_005.png",71114,1,4445,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\assets\slides_images\slide_006.png",41242,1,2578,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\lesson_1769282480.pptx",599180,1,37449,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\output\lesson_1769282480_lecture.mp4",5855352,1,365960,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\output\quiz.json",1848,0,45,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\output\temp_clips\audio_0.mp3",183888,1,11493,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\output\temp_clips\audio_1.mp3",297648,1,18603,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\output\temp_clips\audio_2.mp3",277056,1,17316,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\output\temp_clips\audio_3.mp3",253296,1,15831,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\output\temp_clips\audio_4.mp3",256752,1,16047,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\output\temp_clips\audio_5.mp3",436896,1,27306,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\scripts\builder_1769282391.py",9154,0,218,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\scripts\builder_1769282480.py",7321,0,171,ok,""
"data\generated_code\run_0ecfabee0c4e4837bfcfed3a40d8afea\storyboard.json",2862,0,81,ok,""
"data\generated_code\run_21f2f78a75024a62a514589a9bf390b7\lesson_1769286396.pptx",599143,1,37447,ok,""
"data\generated_code\run_21f2f78a75024a62a514589a9bf390b7\output\quiz.json",1760,0,45,ok,""
"data\generated_code\run_21f2f78a75024a62a514589a9bf390b7\scripts\builder_1769286396.py",7542,0,177,ok,""
"data\generated_code\run_21f2f78a75024a62a514589a9bf390b7\storyboard.json",2987,0,83,ok,""
"data\generated_code\run_2fe8c75ead1140979fdabb058bd1e497\lesson_1769022337.pptx",603693,1,37731,ok,""
"data\generated_code\run_2fe8c75ead1140979fdabb058bd1e497\scripts\builder_1769022337.py",5529,0,127,ok,""
"data\generated_code\run_2fe8c75ead1140979fdabb058bd1e497\storyboard.json",2970,0,88,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\assets\slides_images\lesson_1769359890.pdf",150623,1,9414,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\assets\slides_images\slide_001.png",28231,1,1765,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\assets\slides_images\slide_002.png",29043,1,1816,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\assets\slides_images\slide_003.png",27633,1,1728,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\assets\slides_images\slide_004.png",28795,1,1800,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\assets\slides_images\slide_005.png",29573,1,1849,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\assets\slides_images\slide_006.png",30006,1,1876,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\assets\slides_images\slide_007.png",30932,1,1934,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\lesson_1769359890.pptx",598134,1,37384,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\lesson_1769359890_lecture.mp4",6398059,1,399879,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\quiz.json",2273,0,58,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\temp_clips\audio_0.mp3",205776,1,12861,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\temp_clips\audio_1.mp3",283824,1,17739,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\temp_clips\audio_2.mp3",381600,1,23850,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\temp_clips\audio_3.mp3",269856,1,16866,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\temp_clips\audio_4.mp3",227952,1,14247,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\temp_clips\audio_5.mp3",296640,1,18540,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\output\temp_clips\audio_6.mp3",371232,1,23202,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\scripts\builder_1769359890.py",8382,0,226,ok,""
"data\generated_code\run_31894469dd264514a5d4bd9e1e5a3d62\storyboard.json",3219,0,78,ok,""
"data\generated_code\run_44cecf3ef815405ea228026ba7f3077d\assets\chart_4.png",15233,1,953,ok,""
"data\generated_code\run_44cecf3ef815405ea228026ba7f3077d\assets\code_2.png",3806,1,238,ok,""
"data\generated_code\run_44cecf3ef815405ea228026ba7f3077d\lesson_1770900233.pptx",613462,1,38342,ok,""
"data\generated_code\run_44cecf3ef815405ea228026ba7f3077d\output\quiz.json",2466,0,58,ok,""
"data\generated_code\run_44cecf3ef815405ea228026ba7f3077d\storyboard.json",2575,0,65,ok,""
"data\generated_code\run_559ee2e84c5b4da187e70f0bb8de6103\scripts\builder_1768027146.py",4052,0,90,ok,""
"data\generated_code\run_559ee2e84c5b4da187e70f0bb8de6103\storyboard.json",2805,0,75,ok,""
"data\generated_code\run_56ef8c991d0c411bb3ae07778a4f8e04\assets\generated_code_4.png",14508,1,907,ok,""
"data\generated_code\run_56ef8c991d0c411bb3ae07778a4f8e04\scripts\builder_1768579876.py",5048,0,122,ok,""
"data\generated_code\run_56ef8c991d0c411bb3ae07778a4f8e04\storyboard.json",2626,0,59,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\bubble_sort_final.png",12754,1,798,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\bubble_sort_initial.png",13334,1,834,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\chart_4.png",19279,1,1205,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\code_2.png",9287,1,581,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\slides_images\lesson_1771503754.pdf",118779,1,7424,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\slides_images\slide_001.png",66011,1,4126,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\slides_images\slide_002.png",70395,1,4400,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\slides_images\slide_003.png",86248,1,5391,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\slides_images\slide_004.png",60417,1,3777,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\slides_images\slide_005.png",97013,1,6064,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\slides_images\slide_006.png",76372,1,4774,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\slides_images\slide_007.png",56861,1,3554,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\assets\sorting_algorithms_performance.png",69895,1,4369,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\lesson_1771503754.pptx",622108,1,38882,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\lesson_1771503754_lecture.mp4",8266205,1,516638,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\quiz.json",4054,0,125,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\temp_clips\audio_0.mp3",188352,1,11772,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\temp_clips\audio_1.mp3",240048,1,15003,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\temp_clips\audio_2.mp3",439056,1,27441,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\temp_clips\audio_3.mp3",298512,1,18657,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\temp_clips\audio_4.mp3",400608,1,25038,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\temp_clips\audio_5.mp3",286848,1,17928,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\output\temp_clips\audio_6.mp3",303120,1,18945,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\scripts\step3_coder_20260219_1219_20260219_1219.py",10197,0,327,ok,""
"data\generated_code\run_60e8852785654f8bb7683bf339f3ac80\storyboard.json",2777,0,65,ok,""
"data\generated_code\run_6165200dfe144a14b747b73ab9e2a190\assets\generated_code_5.png",20633,1,1290,ok,""
"data\generated_code\run_6165200dfe144a14b747b73ab9e2a190\output\quiz.json",8748,0,199,ok,""
"data\generated_code\run_6165200dfe144a14b747b73ab9e2a190\scripts\builder_1768329608.py",5937,0,134,ok,""
"data\generated_code\run_6165200dfe144a14b747b73ab9e2a190\storyboard.json",2841,0,65,ok,""
"data\generated_code\run_6226a581d6d3431daab082631ba6f48c\assets\generated_code_1.png",10354,1,648,ok,""
"data\generated_code\run_6226a581d6d3431daab082631ba6f48c\assets\generated_code_2.png",3779,1,237,ok,""
"data\generated_code\run_6226a581d6d3431daab082631ba6f48c\assets\generated_code_3.png",7664,1,479,ok,""
"data\generated_code\run_6226a581d6d3431daab082631ba6f48c\scripts\builder_1768042492.py",5311,0,124,ok,""
"data\generated_code\run_6226a581d6d3431daab082631ba6f48c\scripts\builder_1768042534.py",5202,0,124,ok,""
"data\generated_code\run_6226a581d6d3431daab082631ba6f48c\scripts\builder_1768042571.py",5018,0,118,ok,""
"data\generated_code\run_6226a581d6d3431daab082631ba6f48c\storyboard.json",2783,0,77,ok,""
"data\generated_code\run_751832ee3a484d4d92328d05cb4c1467\assets\generated_code_2.png",14839,1,928,ok,""
"data\generated_code\run_751832ee3a484d4d92328d05cb4c1467\assets\generated_code_3.png",3457,1,217,ok,""
"data\generated_code\run_751832ee3a484d4d92328d05cb4c1467\assets\generated_code_4.png",4853,1,304,ok,""
"data\generated_code\run_751832ee3a484d4d92328d05cb4c1467\assets\generated_code_6.png",4412,1,276,ok,""
"data\generated_code\run_751832ee3a484d4d92328d05cb4c1467\output\quiz.json",2310,0,58,ok,""
"data\generated_code\run_751832ee3a484d4d92328d05cb4c1467\scripts\builder_1768582330.py",5458,0,128,ok,""
"data\generated_code\run_751832ee3a484d4d92328d05cb4c1467\scripts\builder_1768582356.py",5299,0,133,ok,""
"data\generated_code\run_751832ee3a484d4d92328d05cb4c1467\storyboard.json",3097,0,81,ok,""
"data\generated_code\run_772fb025d4804674b9213cbe274747e5\assets\generated_code_5.png",4646,1,291,ok,""
"data\generated_code\run_772fb025d4804674b9213cbe274747e5\assets\generated_code_7.png",8860,1,554,ok,""
"data\generated_code\run_772fb025d4804674b9213cbe274747e5\output\quiz.json",6232,0,117,ok,""
"data\generated_code\run_772fb025d4804674b9213cbe274747e5\scripts\builder_1768316098.py",5248,0,125,ok,""
"data\generated_code\run_772fb025d4804674b9213cbe274747e5\scripts\builder_1768316148.py",5613,0,135,ok,""
"data\generated_code\run_772fb025d4804674b9213cbe274747e5\storyboard.json",3225,0,66,ok,""
"data\generated_code\run_789711ca70d94b39a1eb95779c4316ac\assets\generated_code_3.png",10239,1,640,ok,""
"data\generated_code\run_789711ca70d94b39a1eb95779c4316ac\lesson_1769020919.pptx",605574,1,37849,ok,""
"data\generated_code\run_789711ca70d94b39a1eb95779c4316ac\output\quiz.json",1879,0,45,ok,""
"data\generated_code\run_789711ca70d94b39a1eb95779c4316ac\scripts\builder_1769020879.py",5186,0,125,ok,""
"data\generated_code\run_789711ca70d94b39a1eb95779c4316ac\scripts\builder_1769020919.py",5836,0,139,ok,""
"data\generated_code\run_789711ca70d94b39a1eb95779c4316ac\storyboard.json",3297,0,79,ok,""
"data\generated_code\run_82e0d4a3990b4419894ac251f01bf602\assets\generated_code_3.png",14530,1,909,ok,""
"data\generated_code\run_82e0d4a3990b4419894ac251f01bf602\assets\generated_code_6.png",12324,1,771,ok,""
